
2022/01/11 (13:55:30) | ===> btop++ v.1.1.4
2022/01/11 (13:55:30) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:55:33) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:55:33) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:55:38) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:55:39) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:55:39) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:55:40) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:55:40) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:55:40) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:55:42) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:55:42) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:55:42) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:55:44) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:55:44) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:55:44) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:55:46) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:55:46) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:55:46) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:55:48) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:55:48) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:55:48) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:55:50) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:55:50) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:55:50) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:55:52) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:55:52) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:55:52) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:55:54) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:55:54) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:55:54) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:55:56) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:55:56) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:55:57) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:55:58) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:55:58) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:55:58) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:56:00) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:00) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:56:00) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:56:02) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:02) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:56:02) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:56:04) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:04) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:56:04) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:56:06) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:06) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:56:06) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:56:08) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:08) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:56:09) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:56:10) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:10) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:56:10) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:56:12) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:12) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:56:12) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:56:14) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:14) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:56:14) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:56:16) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:16) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:56:16) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:56:18) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:18) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:56:18) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/11 (13:56:20) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:20) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:56:22) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:22) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:56:24) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:24) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:56:26) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:26) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:56:28) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:28) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/11 (13:56:30) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:32) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:34) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:36) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:38) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:40) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:42) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:44) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:46) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:48) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:56:50) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv

2022/01/11 (13:57:15) | ===> btop++ v.1.1.4
2022/01/11 (13:57:15) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:57:15) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:57:17) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:57:19) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:57:21) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/11 (13:57:23) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv

2022/01/18 (13:17:56) | ===> btop++ v.1.1.4
2022/01/18 (13:17:56) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
